PointID,Year,Site_ID,X,Y,Habitat
48,2010,MSh4,811329.8,810042.3,Mixed shrubland
49,2010,MSh5,811007.0,809714.8,Mixed shrubland
50,2010,MSh6,810844.8,809661.3,Mixed shrubland
51,2010,MSh7,809296.0,809124.0,Mixed shrubland
52,2010,MSh8,835636.8,814807.2,Lowland forest
53,2010,MSh9,835009.5,813647.5,Mixed shrubland
54,2010,MSh10,834763.7,813405.4,Mixed shrubland
55,2010,MSh11,837952.3,815649.1,Mixed shrubland
56,2010,MSh12,837952.8,815697.4,Mixed shrubland
57,2010,MSh13,838017.4,815713.6,Mixed shrubland
58,2010,MSh14,838238.0,816166.6,Mixed shrubland
59,2010,MSh15,838367.2,816614.9,Mixed shrubland
60,2010,MSh16,842387.3,829862.5,Mixed shrubland
61,2010,MSh17,849279.7,818791.3,Mixed shrubland
62,2010,MSh18,849364.7,818125.5,Mixed shrubland
63,2010,MSh19,848692.4,818580.6,Mixed shrubland
64,2010,MSh20,832397.9,838416.2,Plantation
65,2010,MSh21,832013.3,837936.1,Mixed shrubland
66,2010,MSh22,833708.0,839517.6,Lowland forest
67,2010,MSh23,819190.3,826390.0,Lowland forest
68,2010,MSh24,819531.0,825318.8,Lowland forest
69,2010,MSh25,819713.7,826961.1,Mixed shrubland
70,2010,MSh26,819214.8,826663.2,Mixed shrubland
71,2010,MSh27,819790.1,826584.1,Mixed shrubland
72,2010,MSh28,818840.3,826658.9,Mixed shrubland
73,2010,MSh29,820239.7,826058.8,Mixed shrubland
74,2010,MSh30,820247.6,825376.2,Mixed shrubland
75,2010,MSh31,820432.2,825377.9,Mixed shrubland
76,2010,MSh32,827667.0,824145.8,Mixed shrubland
77,2010,MSh33,810748.6,826323.5,Plantation
78,2010,MSh34,810958.2,826083.2,Plantation
79,2010,MSh35,814075.5,826686.3,Shrubby grassland
80,2010,MSh36,814366.8,826771.8,Lowland forest
81,2010,MSh37,813494.0,827915.0,Mixed shrubland
82,2010,MSh38,841153.9,810654.7,Mixed shrubland
83,2010,MSh39,841277.9,810529.3,Mixed shrubland
84,2010,MSh40,841493.6,810552.6,Mixed shrubland
85,2010,MSh41,840589.5,810204.3,Mixed shrubland
86,2010,MSh42,840888.0,811165.2,Mixed shrubland
87,2010,MSh43,819354.6,835348.9,Plantation
88,2010,MSh44,823808.2,835896.3,Mixed shrubland
89,2010,MSh45,841190.1,829836.2,Mixed shrubland
90,2010,MSh46,841301.9,829524.9,Lowland forest
91,2010,MSh47,841939.5,828645.9,Mixed shrubland
92,2010,MSh48,840771.6,829418.0,Mixed shrubland
93,2010,MSh49,847468.9,815719.1,Mixed shrubland
94,2010,MSh50,848031.9,814756.8,Mixed shrubland
95,2010,MSh51,823739.4,826735.2,Mixed shrubland
96,2010,MSh53,838656.7,836548.7,Plantation
97,2010,MSh54,820302.6,836501.4,Mixed shrubland
98,2010,MSh55,842534.4,843525.8,Mixed shrubland
99,2010,FW1,841279.6,836936.9,Grassland
100,2010,FW7,825823.8,838853.8,Grassland
101,2010,FW9,825786.0,840602.4,Grassland
102,2010,FW17,833687.0,843443.5,Grassland
103,2010,FW18,834380.5,842734.5,Grassland
104,2010,FW22,834144.8,842426.3,Shrubby grassland
105,2010,FW28,831670.7,840901.3,Grassland
106,2010,FW29,823655.1,833332.0,Grassland
107,2010,FW37,829622.1,810782.0,Mixed shrubland
108,2010,FW38,829924.8,809211.2,Mixed shrubland
109,2010,FW40,832789.3,806859.7,Shrubby grassland
110,2010,FW47,817238.0,836661.8,Grassland
111,2010,FW48,817156.4,836722.2,Shrubby grassland
112,2010,FW52,815219.8,834636.3,Mixed shrubland
113,2010,FW69,832102.0,844407.2,Grassland
114,2010,FW70,832305.0,844744.4,Mixed shrubland
115,2010,FW76,833650.5,844391.3,Grassland
116,2010,FW78,833760.9,844699.6,Grassland
117,2010,FW82,833546.6,845641.3,Grassland
118,2010,FW83,833725.8,845904.3,Grassland
119,2010,FW87,840621.6,845012.8,Mixed shrubland
120,2010,FW88,840390.1,844750.6,Grassland
121,2010,P1,840034.8,828656.5,Plantation
122,2010,P2,847780.7,815029.8,Grassland
123,2010,P3,847676.2,815065.1,Shrubby grassland
124,2010,P4,847571.6,815168.3,Grassland
125,2010,P5,847371.8,816073.0,Plantation
126,2010,P6,823680.0,826252.1,Mixed shrubland
127,2010,P7,823624.8,826366.2,Shrubby grassland
128,2010,P8,823632.0,826574.9,Shrubby grassland
129,2010,P9,823663.9,826663.5,Shrubby grassland
130,2010,P10,823279.8,827363.5,Plantation
131,2010,P11,823121.3,827201.4,Plantation
132,2010,P12,822983.4,826944.2,Plantation
133,2010,P13,823753.7,827330.1,Plantation
134,2010,P14,823989.9,827424.2,Plantation
135,2010,P15,824715.2,827421.8,Plantation
136,2010,P16,824973.8,827259.0,Plantation
137,2010,P17,825272.9,827512.9,Plantation
138,2010,P18,825537.3,827800.4,Plantation
139,2010,P19,825424.0,828061.8,Plantation
140,2010,P20,828130.5,829460.3,Plantation
141,2010,P21,827757.9,829025.3,Plantation
142,2010,P22,827271.4,828703.5,Plantation
143,2010,P23,827143.7,829125.3,Plantation
144,2010,P24,826889.4,829161.3,Plantation
145,2010,P25,826697.9,829013.6,Plantation
146,2010,P26,826494.9,828793.7,Plantation
147,2010,P27,826071.0,828611.2,Plantation
148,2010,P28,825710.0,828589.3,Plantation
149,2010,P29,825677.6,828222.7,Plantation
150,2010,P30,825505.4,828178.9,Plantation
151,2010,P31,825223.9,828229.7,Plantation
152,2010,P32,825227.4,828673.8,Plantation
153,2010,P33,826137.0,828791.1,Lowland forest
154,2010,P34,840614.7,837560.3,Mixed shrubland
155,2010,P35,833059.2,827653.2,Plantation
156,2010,P36,833031.7,827891.3,Plantation
157,2010,P37,832729.5,826808.3,Plantation
158,2010,P38,833470.2,827092.9,Plantation
159,2010,P39,833676.0,827223.6,Lowland forest
160,2010,P40,834833.6,828544.8,Plantation
161,2010,P41,835159.7,828741.7,Plantation
162,2010,P42,835254.1,828920.1,Plantation
163,2010,P43,835328.4,828331.9,Plantation
164,2010,SG1,812470.6,810751.4,Shrubby grassland
