ID,index,GEE_ID,LANDSAT_PRODUCT_ID,SPACECRAFT_ID,SENSOR_ID,Date,Time,WRS_TYPE,WRS_PATH,WRS_ROW,CloudCover,SunAzimuth,SunElevation,SunZenith,RemainAfterPreprocess,Period,CountValidPixel,Percentile
986,LC08_121045_20200314,LANDSAT/LC08/C02/T1_L2/LC08_121045_20200314,LC08_L2SP_121045_20200314_20200822_02_T1,LANDSAT_8,OLI_TIRS,14/3/2020,02:46:12.2567720Z,2,121,45,73.83,130.26,55.02,34.98,Yes,2020,980458,87
987,LC08_121044_20200415,LANDSAT/LC08/C02/T1_L2/LC08_121044_20200415,LC08_L2SP_121044_20200415_20200822_02_T1,LANDSAT_8,OLI_TIRS,15/4/2020,02:45:32.2902989Z,2,121,44,8.35,116.56,63.93,26.07,Yes,2020,748326,28
988,LC08_121045_20200415,LANDSAT/LC08/C02/T1_L2/LC08_121045_20200415,LC08_L2SP_121045_20200415_20200822_02_T1,LANDSAT_8,OLI_TIRS,15/4/2020,02:45:56.1855739Z,2,121,45,21.89,113.58,64.34,25.66,No,,,
989,LE07_121044_20200829,LANDSAT/LE07/C02/T1_L2/LE07_121044_20200829,LE07_L2SP_121044_20200829_20200923_02_T1,LANDSAT_7,ETM,29/8/2020,02:12:58.3058874Z,2,121,44,5,109.16,56.45,33.55,Yes,2020,700374,19
990,LE07_121045_20200829,LANDSAT/LE07/C02/T1_L2/LE07_121045_20200829,LE07_L2SP_121045_20200829_20200923_02_T1,LANDSAT_7,ETM,29/8/2020,02:13:22.2040972Z,2,121,45,33,106.89,56.69,33.31,No,,,
991,LC08_121045_20200906,LANDSAT/LC08/C02/T1_L2/LC08_121045_20200906,LC08_L2SP_121045_20200906_20200918_02_T1,LANDSAT_8,OLI_TIRS,6/9/2020,02:46:31.5736700Z,2,121,45,35.77,121.05,62.84,27.16,No,,,
992,LE07_121045_20200914,LANDSAT/LE07/C02/T1_L2/LE07_121045_20200914,LE07_L2SP_121045_20200914_20201009_02_T1,LANDSAT_7,ETM,14/9/2020,02:12:18.9291627Z,2,121,45,14,117.01,54.66,35.34,No,,,
993,LC08_122045_20200929,LANDSAT/LC08/C02/T1_L2/LC08_122045_20200929,LC08_L2SP_122045_20200929_20201008_02_T1,LANDSAT_8,OLI_TIRS,29/9/2020,02:52:49.3665559Z,2,122,45,42.47,136.94,58.16,31.84,No,,,
994,LE07_121044_20201101,LANDSAT/LE07/C02/T1_L2/LE07_121044_20201101,LE07_L2SP_121044_20201101_20201127_02_T1,LANDSAT_7,ETM,1/11/2020,02:08:47.7527297Z,2,121,44,0,140.56,43.05,46.95,Yes,2020,838111,39
995,LE07_121045_20201101,LANDSAT/LE07/C02/T1_L2/LE07_121045_20201101,LE07_L2SP_121045_20201101_20201127_02_T1,LANDSAT_7,ETM,1/11/2020,02:09:11.6473233Z,2,121,45,2,139.43,44.02,45.98,No,,,
