PointID,Year,Site_ID_OriginalStudy,Easting,Northing,OriginalClass,ConvertedClass
264,2010,P26,826494.9,828793.7,Plantation or Plantation/Mixed forest,Woodland
265,2010,P27,826071,828611.2,Plantation or Plantation/Mixed forest,Woodland
266,2010,P28,825710,828589.3,Plantation or Plantation/Mixed forest,Woodland
267,2010,P29,825677.6,828222.7,Plantation or Plantation/Mixed forest,Woodland
268,2010,P30,825505.4,828178.9,Plantation or Plantation/Mixed forest,Woodland
269,2010,P31,825223.9,828229.7,Plantation or Plantation/Mixed forest,Woodland
270,2010,P32,825227.4,828673.8,Plantation or Plantation/Mixed forest,Woodland
271,2010,P33,826137,828791.1,Lowland forest,Woodland
272,2010,P34,840614.7,837560.3,Lowland forest,Woodland
273,2010,P35,833059.2,827653.2,Plantation or Plantation/Mixed forest,Woodland
274,2010,P36,833031.7,827891.3,Plantation or Plantation/Mixed forest,Woodland
275,2010,P37,832729.5,826808.3,Plantation or Plantation/Mixed forest,Woodland
276,2010,P38,833470.2,827092.9,Plantation or Plantation/Mixed forest,Woodland
277,2010,P39,833676,827223.6,Lowland forest,Woodland
278,2010,P40,834833.6,828544.8,Plantation or Plantation/Mixed forest,Woodland
279,2010,P41,835159.7,828741.7,Plantation or Plantation/Mixed forest,Woodland
280,2010,P42,835254.1,828920.1,Plantation or Plantation/Mixed forest,Woodland
281,2010,SG2,809216.7,809143.5,Cultivation,Grassland
282,2010,SG6,809285.5,809198.7,Cultivation,Grassland
283,2010,SG7,838508,816666.3,Grassland,Grassland
284,2010,SG9,838611.1,816324.1,Shrubland,Shrubland
285,2010,SG10,844633.6,825312.3,Lowland forest,Woodland
286,2010,SG11,844431.8,825295.6,Shrubland,Shrubland
287,2010,SG13,844710.7,822761.1,Shrubland,Shrubland
288,2010,SG14,844762.6,821561.4,Shrubland,Shrubland
289,2010,SG15,842366.3,829847.6,Shrubland,Shrubland
290,2010,SG16,849325.4,818259.2,Shrubland,Shrubland
291,2010,SG17,831896.3,838305.6,Shrubland,Shrubland
292,2010,SG18,833762.6,838868.1,Grassland,Grassland
293,2010,SG19,834068,839772.9,Shrubland,Shrubland
294,2010,SG20,833965.7,839953.9,Shrubland,Shrubland
295,2010,SG21,833202,839351.8,Lowland forest,Woodland
296,2010,SG22,819271.4,826976.3,Grassland,Grassland
297,2010,SG23,819159.7,826918.1,Grassland,Grassland
